GUID,pattern_key,pattern_count,rare_pattern,uncertainty_density,pred_conductivity,uncertainty_dispersion_conductivity,pred_pH,uncertainty_dispersion_pH,pred_W_1,uncertainty_dispersion_W_1,pred_R_W,uncertainty_dispersion_R_W,pred_PI,uncertainty_dispersion_PI,pred_S_pH,pred_PI_recon,pred_PI_gap_direct_vs_recon,uncertainty_hook_conductivity,uncertainty_hook_pH,uncertainty_hook_W_1,uncertainty_hook_R_W,uncertainty_hook_PI,anchor_guid,anchor_trust,anchor_PI,recipe_signature,trust_tier,vol_Li2SO4,vol_LiClO4,vol_LiNO3,vol_Na2SO4,vol_NaBr,vol_NaClO4,vol_NaNO3,vol_water,pi_rank,cond_rank,w1_rank,ph_rank,novelty_rank,risk_rank,exploit_score,explore_score
q5cand_0235,NaClO4+NaNO3,27,0,2.871377263666041,163.79160700331923,1.9860619688518917,7.613943841377785,0.04845910399296457,2.569500645313925,0.019824992606236908,0.9119695044801966,0.002274177326189873,0.834126137860029,0.0019525520541933581,1.0,0.8893308961410675,-0.055204758281038546,1.138763197586727,0.7375565610859729,0.8582202111613877,0.9441930618401206,0.5052790346907994,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,NaClO4:1.1; NaNO3:5.9; water:0.0,high,0.0,0.0,0.0,0.0,0.0,1.1,5.9,0.0,0.9879336349924586,0.8989441930618401,0.9622926093514329,0.5052790346907994,0.2956259426847662,0.2187028657616893,0.7754901960784314,0.6794117647058823
q5cand_0238,NaClO4+NaNO3,27,0,3.239998447850616,164.9649434474268,1.3017346689070701,7.516236344969538,0.04493154652127379,2.541178141348865,0.01459162130901418,0.9066914451490108,0.003075611130025489,0.8345400902768993,0.004379641495877946,1.0,0.8757805802360924,-0.04124048995919305,1.0241327300150829,0.7601809954751131,0.8280542986425339,1.076923076923077,0.8174962292609351,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,NaClO4:1.0; NaNO3:5.8; water:0.2,high,0.0,0.0,0.0,0.0,0.0,1.0,5.8,0.2,0.9924585218702866,0.9411764705882353,0.8989441930618401,0.5052790346907994,0.34238310708898945,0.3514328808446455,0.7499245852187029,0.6794117647058824
q5cand_0252,NaClO4+NaNO3,27,0,2.899110082013474,161.8897696613666,2.126437465142154,7.641577506507166,0.04853532354416138,2.5505382390672495,0.019035896691129955,0.9001365525464061,0.003439653975744334,0.832443963039279,0.002489402319931776,1.0,0.8611729136987492,-0.02872895065947012,1.1538461538461537,0.7435897435897436,0.8552036199095023,1.0497737556561086,0.5867269984917043,{CE55911B-3494-64C3-A826-217B9E49902D},high,0.8428711138807207,NaClO4:1.8; NaNO3:5.0; water:0.2,high,0.0,0.0,0.0,0.0,0.0,1.8,5.0,0.2,0.9653092006033183,0.8355957767722474,0.9230769230769231,0.5052790346907994,0.2986425339366516,0.2609351432880845,0.7383107088989442,0.6546003016591252
q5cand_0229,LiNO3+NaClO4+NaNO3,0,1,6.2659054318954865,162.42169255616827,3.4158607589132286,7.835370720654937,0.13378915356636875,2.5181052353105238,0.014364331324219022,0.9122721688224201,0.002141556451789625,0.7999317506058478,0.001925624657464573,1.0,0.8560568064146867,-0.056125055808838975,1.8280542986425339,1.5686274509803921,1.3574660633484164,1.5007541478129713,1.0799396681749622,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,LiNO3:0.1; NaClO4:1.0; NaNO3:5.9; water:0.0,low,0.0,0.0,0.1,0.0,0.0,1.0,5.9,0.0,0.5233785822021116,0.8642533936651584,0.7134238310708899,0.5052790346907994,0.8763197586726998,0.4796380090497738,0.4699849170437407,0.6058069381598793
q5cand_0226,Li2SO4+NaClO4+NaNO3,0,1,6.250428519507778,161.59406265556825,3.1861238783715513,7.688554602304085,0.12792763202940752,2.5072233137797935,0.024289524758675695,0.9095558531404797,0.0014696192900267504,0.8007217971398203,0.0006997313458164971,1.0,0.8431630686197141,-0.04244127147989385,1.8144796380090498,1.5475113122171946,1.497737556561086,1.3167420814479638,0.9291101055806938,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,Li2SO4:0.2; NaClO4:1.0; NaNO3:5.8; water:0.0,low,0.2,0.0,0.0,0.0,0.0,1.0,5.8,0.0,0.5490196078431373,0.8205128205128205,0.5520361990950227,0.5052790346907994,0.8717948717948718,0.38763197586727,0.46696832579185527,0.6001508295625942
q5cand_0236,NaClO4+NaNO3,27,0,2.799644136311187,163.3301594655023,2.1065978321583136,7.622292230026173,0.04036297302323226,2.5683588248774174,0.01977515318796494,0.910742144396068,0.0016317547995335848,0.8338255312313442,0.002500635678637246,1.0,0.8854384184491273,-0.05161288721778312,1.138763197586727,0.6470588235294117,0.8476621417797888,0.7812971342383107,0.5776772247360482,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,NaClO4:1.2; NaNO3:5.8; water:0.0,high,0.0,0.0,0.0,0.0,0.0,1.2,5.8,0.0,0.9849170437405732,0.8853695324283559,0.9607843137254902,0.5052790346907994,0.2865761689291101,0.2564102564102564,0.7636500754147812,0.6701357466063348
q5cand_0237,NaClO4+NaNO3,27,0,3.3843314603560204,164.89065376488716,1.3432886965612636,7.56018489495959,0.021185370901124795,2.5435015984318654,0.008519163157537831,0.9090999250061906,0.0013611993766062596,0.8341730664361963,0.004868907305148319,1.0,0.8790479700309521,-0.04487490359475588,1.042232277526395,0.5429864253393665,0.6757164404223228,0.7526395173453997,0.8838612368024132,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,NaClO4:1.0; NaNO3:5.9; water:0.1,high,0.0,0.0,0.0,0.0,0.0,1.0,5.9,0.1,0.9894419306184012,0.9396681749622926,0.9034690799396682,0.5052790346907994,0.34992458521870284,0.3695324283559578,0.7453242835595777,0.678657616892911
q5cand_0249,NaClO4+NaNO3,27,0,2.360593841117403,159.65672554521882,1.576459853067857,7.6898538402229155,0.018597632250636792,2.6006171280644863,0.006938286551585513,0.9072773895268084,0.000751699220541905,0.833487591253634,0.0023174672304164287,1.0,0.869038971437239,-0.03555138018360493,1.0120663650075414,0.43137254901960786,0.5354449472096531,0.45098039215686275,0.5203619909502262,{CE55911B-3494-64C3-A826-217B9E49902D},high,0.8428711138807207,NaClO4:1.9; NaNO3:5.1; water:0.0,high,0.0,0.0,0.0,0.0,0.0,1.9,5.1,0.0,0.9788838612368024,0.7119155354449472,0.9879336349924586,0.5052790346907994,0.26395173453996984,0.22322775263951736,0.7369532428355958,0.6423831070889894
q5cand_0240,Li2SO4+NaClO4+NaNO3,0,1,6.056760673151731,158.16405571865948,2.0320652804535753,7.8009003862334865,0.11698156998284105,2.530203005818881,0.04146059690230452,0.9018434951094065,0.0009784697215682488,0.8010041067721644,0.0006265844054713733,1.0,0.8322041950991268,-0.031200088326962416,1.6772247360482655,1.4781297134238311,1.607843137254902,1.0904977375565612,0.8733031674208145,{CE55911B-3494-64C3-A826-217B9E49902D},high,0.8428711138807207,Li2SO4:0.2; NaClO4:1.8; NaNO3:5.0; water:0.0,low,0.2,0.0,0.0,0.0,0.0,1.8,5.0,0.0,0.5610859728506787,0.6561085972850679,0.8340874811463047,0.5052790346907994,0.8295625942684767,0.36199095022624433,0.48695324283559577,0.5999245852187028
q5cand_0231,Na2SO4+NaClO4+NaNO3,18,0,5.366236224120348,164.4833167097686,1.6983330377350643,6.61519830868204,0.09152971947986195,2.5236172384420446,0.009887411009521634,0.8981906611825385,0.0028570284495844324,0.8148329735453603,0.020722717940832875,1.0,0.8563488678193372,-0.04151589427397684,1.1749622926093515,0.9683257918552035,0.7647058823529411,1.1176470588235294,1.297134238310709,{A0A3756C-1996-1342-9DE2-C26476ED0DC2},high,0.8601818023972836,Na2SO4:0.1; NaClO4:1.0; NaNO3:5.9; water:0.0,medium,0.0,0.0,0.0,0.1,0.0,1.0,5.9,0.0,0.8446455505279035,0.9155354449472096,0.7677224736048266,0.5052790346907994,0.3951734539969834,0.720211161387632,0.584841628959276,0.5870286576168929
